date,case,doc_name,doc_link
2015-07-07,"CWB Services, LLC","[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment Against Timothy A. Coppinger; CWB Services, LLC; Orion Services, LLC; Sandpoint Capital, LLC; Sandpoint, LLC; Namakan Capital, LLC (Delaware); Namakan Capital, LLC (Nevis); Basseterre Capital, LLC (Delaware) and Basseterre Capital, LLC (Nevis) (54.61 KB)",https://www.ftc.gov/system/files/documents/cases/150707cwbcoppingernevisstip.pdf
2015-06-29,Equiliv Investments (Prized),Complaint for Permanent Injunction and Other Equitable and Monetary Relief (151.7 KB),https://www.ftc.gov/system/files/documents/cases/150625equilivcmpt.pdf
2015-06-17,"Cephalon, Inc.","Stipulated Order For Permanent Injunction and Equitable Monetary Relief, Signed by The Honorable Mitchell S. Goldberg, United States District Judge (735.37 KB)",https://www.ftc.gov/system/files/documents/cases/150617cephalonstip.pdf
2015-06-11,Erik Chevalier (The Forking Path),Proposed Stipulated Order for Permanent Injunction and Monetary Judgment (2.06 MB),https://www.ftc.gov/system/files/documents/cases/150611chevalierstip.pdf
2015-06-08,Ashworth College,Stipulated Order for Permanent Injunction and Suspended Monetary Judgment (454.34 KB),https://www.ftc.gov/system/files/documents/cases/150608ashworthstip.pdf
2015-06-02,"Cancer Fund of America, Inc.","Stipulated Order for Permanent Injunction and Monetary Judgment Against Children’s Cancer Fund of America, Inc., and Rose Perkins (256.32 KB)",https://www.ftc.gov/system/files/documents/cases/150602cancerfundperkinsstip.pdf
2015-05-28,"Cephalon, Inc.",Proposed Stipulated Order for Permanent Injunction and Equitable Monetary Relief (244.69 KB),https://www.ftc.gov/system/files/documents/cases/150528cephalonstip.pdf
2015-05-26,Ashworth College,[Proposed] Stipulated Order for Permanent Injunction and Suspended Monetary Judgment (823.44 KB),https://www.ftc.gov/system/files/documents/cases/150526ashworthcollegestip.pdf
2015-05-20,"WV Universal Management, LLC","Final Monetary Judgment as to Defendant Universal Processing Services of Wisconsin, LLC, also Doing Business as Newtek Merchant Solutions (285.23 KB)",https://www.ftc.gov/system/files/documents/cases/150520universalmanagementjudgment.pdf
2015-05-19,"Cancer Fund of America, Inc.","Stipulation Re Order for Permanent Injunction and Monetary Judgment Against Children’s Cancer Fund of America, Inc., and Rose Perkins (4.6 MB)",https://www.ftc.gov/system/files/documents/cases/150519cancerfundperkinsstip.pdf
2015-05-06,"MDK Media, Inc.",Final Order for Permanent Injunction and Monetary Judgment Against Defendants Makonnen Kebede and MDK Media Inc. (75.08 KB),https://www.ftc.gov/system/files/documents/cases/150506mdkkebedeorder.pdf
2015-04-23,"Instant Response Systems LLC, et al.",Final Order for Permanent Injunction and Monetary Judgment Against Defendant Jason Abraham (86.6 KB),https://www.ftc.gov/system/files/documents/cases/150423instantresponseorder.pdf
2015-04-21,"Green Tree Servicing, LLC",Stipulated Order for Permanent Injunction and Monetary Judgment (464.87 KB),https://www.ftc.gov/system/files/documents/cases/150421greentreestiporder.pdf
2015-04-03,"Philip Danielson, LLC","Stipulated Final Order for Permanent Injunction and Monetary Relief as to Linden Financial Group, LLC (2.82 MB)",https://www.ftc.gov/system/files/documents/cases/150402danielsonorder.pdf
2015-03-26,"OnlineYellowPagesToday.com, Inc.",Stipulated Final Judgment for Permanent Injunction and Monetary Judgment as to Defendant Oni Nathifa Julien (82.27 KB),https://www.ftc.gov/system/files/documents/cases/150326onlineyellowstip.pdf
2015-03-25,"Home Relief Foundation, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment (527.99 KB),https://www.ftc.gov/system/files/documents/cases/150325homerelieforder.pdf
2015-03-12,"First Consumers, et al.",Final Order for Permanent Injunction and Monetary Judgment as to Defendant Ari Tietolman (577.36 KB),https://www.ftc.gov/system/files/documents/cases/150312firstconsumers_tietolmanorder.pdf
2015-03-05,"Allstar Marketing Group, LLC",[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment (2.36 MB),https://www.ftc.gov/system/files/documents/cases/150305allstarmarketingstip.pdf
2015-03-02,Hispanic Global Way Corporation,Stipulated Order for Permanent Injunction and Monetary Judgment  (175.09 KB),https://www.ftc.gov/system/files/documents/cases/150302hispanicglobalorder.pdf
2015-02-23,"Straight Talk Wireless (TracFone Wireless, Inc.)",Stipulated Order for Permanent Injunction and Monetary Judgment (144.76 KB),https://www.ftc.gov/system/files/documents/cases/150223tracfoneorder.pdf
2015-02-11,"WV Universal Management, LLC","Order for Monetary Judgment Against Defendants Hal E. Smith and HES Merchant Services Company, Inc. (45.32 KB)",https://www.ftc.gov/system/files/documents/cases/universalsmithorder.pdf
2015-02-05,"First Consumers, et al.", Stipulated Final Order for Permanent Injunction and Monetary Judgment as to Defendant Marc Ferry (824.29 KB),https://www.ftc.gov/system/files/documents/cases/first_consumers-_68_-_ferry_final_order_redacted.pdf
2015-02-05,"Philip Danielson, LLC",Motion To Enter Stipulated Final Orders For Permanent Injunction and Monetary Relief (33.5 KB),https://www.ftc.gov/system/files/documents/cases/150205philipdanielsonstip.pdf
2015-02-03,"First Consumers, et al.",[Proposed] Stipulated Final Order for Permanent Injunction and Monetary Judgment as to Defendant Marc Ferry (1.98 MB),https://www.ftc.gov/system/files/documents/cases/150203firstconsumersferrystip.pdf
2015-01-29,"Diversified Educational Resources, LLC (Jefferson High School Online)","Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants IDM Services LLC and Alexander Wolfram, and Relief Defendants Steinbock Holdings LLC, Zwillinge, LLC, Sylvia Gads, and Tiffany Chambers (515.23 KB)",https://www.ftc.gov/system/files/documents/cases/150129jeffersonhs-wolframstip.pdf
2015-01-28,"Straight Talk Wireless (TracFone Wireless, Inc.)",[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment (162.44 KB),https://www.ftc.gov/system/files/documents/cases/150128tracfonestip.pdf
2015-01-16,"AMG Services, Inc.",Joint Motion to Enter Stipulated Order for Permanent Injunction and Monetary Judgment (43.17 KB),https://www.ftc.gov/system/files/documents/cases/150116amgmtnjdmt.pdf
2015-01-13,"Oro Marketing, Inc., et al.",Final Order For Permanent Injunction and Monetary Judgment Against Defendant John Charchian (550.08 KB),https://www.ftc.gov/system/files/documents/cases/150113creamgrouporderjohn.pdf
2014-12-22,"Your Yellow Book, Inc",Stipulated Final Order For Permanent Injunction and Monetary Judgment (731.4 KB),https://www.ftc.gov/system/files/documents/cases/141222yellowpagestip.pdf
2014-12-22,"7051620 Canada, Inc.","Stipulated Order For Permanent Injunction and Monetary Judgment As To Defendants 7051620 Canada, Inc., Francois Egberongbe, and Robert N. Durham, Sr. (626.96 KB)",https://www.ftc.gov/system/files/documents/cases/141222canadastip.pdf
2014-12-19,"T-Mobile USA, Inc.",Stipulated [Proposed] Order for Permanent Injunction and Monetary Judgment  (821.06 KB),https://www.ftc.gov/system/files/documents/cases/141218tmobileorder.pdf
2014-12-17,"American eVoice, Ltd. and Emerica Media Corporation, et al.",Stipulated Permanent Injunction Order and Monetary Judgment at to Nathan M. Sann (314.05 KB),https://www.ftc.gov/system/files/documents/cases/141217americanvoicestip.pdf
2014-12-15,"FMC Counseling Services, Inc.",Stipulated Final Order for Permanent Injunction and Monetary Judgment (152.43 KB),https://www.ftc.gov/system/files/documents/cases/141215fmcstip.pdf
2014-12-11,"A to Z Marketing, Inc., also d/b/a Client Services; Apex Members, LLC, also d/b/a Apex Solutions, also d/b/a MacArthur Financial Group, et al.","Final Order for Monetary Judgment as to Relief Defendant Business Team, LLC (on appeal) (62.78 KB)",https://www.ftc.gov/system/files/documents/cases/141210apexbusinessteamorder.pdf
2014-11-21,"One Technologies, LP",Stipulated Order for Permanent Injunction & Monetary Judgment (425.86 KB),https://www.ftc.gov/system/files/documents/cases/141121onetechstip.pdf
2014-11-19,"One Technologies, LP",[Proposed] Stipulated Order for Permanent Injunction & Monetary Judgment (329.85 KB),https://www.ftc.gov/system/files/documents/cases/141119onetechstiporder.pdf
2014-10-14,"IAB Marketing Associates, LP, d/b/a IAB, et al.",Joint Motion for the Entry of a Stipulated Final Order for Permanent Injunction and Monetary Judgment (1.53 MB),https://www.ftc.gov/system/files/documents/cases/141014iabstip.pdf
2014-10-09,Wordsmart Corporation,Order Granting Stipulated Final Judgment and Order for Permanent Injunction and Monetary Judgment (52.8 KB),https://www.ftc.gov/system/files/documents/cases/141009wordsmartorder.pdf
2014-10-08,"AT&T Mobility, LLC (Mobile Billing)",Stipulated Order for Permanent Injunction and Monetary Judgment (1.18 MB),https://www.ftc.gov/system/files/documents/cases/141008attstip2.pdf
2014-10-07,"Applied Marketing Sciences, LLC, et al.",Stipulated Order for Permanent Injunction and Monetary Judgment (65.78 KB),https://www.ftc.gov/system/files/documents/cases/141007univinfoservicesstip.pdf
2014-09-12,"AFD Advisors, LLC","Default Judgment and Order for Permanent Injunction and Monetary Relief as to Defendants AFD Advisors, LLC; AMG Associates, LLC; and Park 295 Corp. (71.22 KB)",https://www.ftc.gov/system/files/documents/cases/140912afdstippark.pdf
2014-09-08,"Applied Food Sciences, Inc.",Stipulated Order For Permanent Injunction and Monetary Judgment (923.49 KB),https://www.ftc.gov/system/files/documents/cases/140908afsstip1.pdf
2014-08-12,Kobeni Inc.,Stipulated Order for Permanent Injunction and Monetary Judgment (448.33 KB),https://www.ftc.gov/system/files/documents/cases/140811kobeniorder.pdf
2014-08-12,"BlueHippo Funding, LLC, and BlueHippo Capital, LLC",Second Circuit Opinion Vacating Monetary Judgment and Remanding for Further Proceedings (55.3 KB),https://www.ftc.gov/system/files/documents/cases/140812bluehippoopinion.pdf
2014-08-06,"Online Entrepreneur, The, Inc., et al.",Stipulated Order for Permanent Injunction and Monetary Relief Against Defendant Benjamin Moskel (1.93 MB),https://www.ftc.gov/system/files/documents/cases/140806onlineentrepreneurorder.pdf
2014-08-05,"Tatto, Inc., also d/b/a Winbigbidlow and Tatto Media, et al.",Stipulation for Order for Permanent Injunction and Monetary Judgment Against Defendant Andrew Bachman (380.98 KB),https://www.ftc.gov/system/files/documents/cases/140731bullroarerstip.pdf
2014-07-31,"Infusion Media, Inc., a corporation, also d/b/a Google Money Tree, et al.",Order Holding Defendant Jonathan Eborn Liable for full Monetary Judgment (30.56 KB),https://www.ftc.gov/system/files/documents/cases/140731googlemoneytreeorder.pdf
2014-07-24,Lakshmi Infosoul Services Pvt Ltd.,Final Default Judgment and Order for Permanent Injunction and Monetary Judgment (489.74 KB),https://www.ftc.gov/system/files/documents/cases/140724lakshmiorder.pdf
2014-07-24,"Resort Solution Trust, Inc., et al.",Stipulated Order for Permanent Injunction and Monetary Judgment (2.1 MB),https://www.ftc.gov/system/files/documents/cases/140724resortsolutionstip.pdf
2014-07-24,"Virtual PC Solutions (Mikael Marczak a/k/a Michael Marczak), et al.",Final Default Judgment and Order for Permanent Injunction and Monetary Judgment as to Defendant Wahid Ali (498.91 KB),https://www.ftc.gov/system/files/documents/cases/140724marczakorder.pdf
2014-07-24,"Resort Property Depot, Inc., et al.",Final Stipulated Judgment for Permanent Injunction and Monetary Relief (128.92 KB),https://www.ftc.gov/system/files/documents/cases/140724resortpropertystip.pdf
2014-07-24,"PCCare247 Inc., et al.",Final Default Judgment and Order for Permanent Injunction and Monetary Judgment (196.05 KB),https://www.ftc.gov/system/files/documents/cases/140724pccare247order.pdf
2014-07-24,"Finmaestros, LLC, et al.",Final Default Judgment and Order for Permanent Injunction and Monetary Judgment (504.21 KB),https://www.ftc.gov/system/files/documents/cases/140724finmaestrosorder.pdf
2014-07-24,"Pecon Software Ltd., et al.",Final Default Judgment and Order for Permanent Injunction and Monetary Judgment (2.51 MB),https://www.ftc.gov/system/files/documents/cases/140724peconorder.pdf
2014-07-15,"TriVita, Inc.","Order on Stipulation for Permanent Injunction, Other Equitable Relief, and Monetary Judgment (95.6 KB)",https://www.ftc.gov/system/files/documents/cases/140715trivitastip.pdf
2014-06-25,"RTB Enterprises, Inc.","Stipulated Order for Permanent Injunction, and Monetary Judgment  (422.65 KB)",https://www.ftc.gov/system/files/documents/cases/140625rtbstip.pdf
2014-06-24,"Tax Club, The, Inc., et al.",Stipulated Final Judgment and Order for Permanent Injunction and Monetary Relief as to Defendant Edward B. Johnson (878.07 KB),https://www.ftc.gov/system/files/documents/cases/140623taxclubjohnsonorder.pdf
2014-06-24,"American Business Builders, LLC, et al.","Amended Stipulated Final Order for Permanent Injunction and Monetary Judgment Against Defendants American Business Builders, LLC; UMS Group, LLC; United Merchant Services, LLC; Unlimited Training Services, LLC; and Shane Michael Hanna (2.12 MB)",https://www.ftc.gov/system/files/documents/cases/140624abborderhanna.pdf
2014-06-13,"Tatto, Inc., also d/b/a Winbigbidlow and Tatto Media, et al.","Stipulated Order for Permanent Injunction and Monetary Judgment Against Defendants Tatto, Inc., Shaboom Media, LLC, Bune, LLC, Mobile Media Products, LLC, Chairman Ventures, LLC, Galactic Media, LLC, Virtus Media, LLC, And Lin Miao (100.08 KB)",https://www.ftc.gov/system/files/documents/cases/140613bullroarerstiporder.pdf
2014-06-11,"Innovative Wealth Builders, Inc., et al.","Stipulated Order For Permanent Injunction and Monetary Judgment As To Independent Resources Network Corp., also doing business as IRN Payment Systems (2.17 MB)",https://www.ftc.gov/system/files/documents/cases/140611iwbstiporder.pdf
2014-06-05,"Ideal Financial Solutions, Inc., et al.",Stipulated Order for Permanent Injunction and Monetary Judgment as to Shawn Sunyich [Entered by the Court] (833.51 KB),https://www.ftc.gov/system/files/documents/cases/140605idealsunyichorder.pdf
2014-05-28,Goldman Schwartz Inc.,Order for Permanent Injunction and Monetary Judgment (Entered by the Court) (1.49 MB),https://www.ftc.gov/system/files/documents/cases/140528goldmanfinalorder.pdf
2014-05-19,Goldman Schwartz Inc.,Stipulated Order for Permanent Injunction and Monetary Judgment (3.76 MB),https://www.ftc.gov/system/files/documents/cases/140519goldmanstip.pdf
2014-05-13,"Fortune Hi-Tech Marketing, Inc., et al.",Stipulated Order for Permanent Injunction and Monetary Judgment (1.37 MB),https://www.ftc.gov/system/files/documents/cases/140513fortunehitechstip.pdf
2014-04-11,"I Works, Inc., et al.","Stipulated Final Order For Permanent Injunction and Monetary Judgment as to Defendants Scott Muir, Big Bucks Pro, Inc., Blue Net Progress, Inc., Bolt Marketing, Inc., Business Loan Success, Inc., CS Processing, Inc., GGL Rewards, Inc., Highlight Marketing, Inc., Mist Marketing, Inc., Net Discounts, Inc., Optimum Assistance, Inc., Razor Processing, Inc., and Simcor Marketing, Inc. (6.03 MB)",https://www.ftc.gov/system/files/documents/cases/140411iworksstiporder.pdf
2014-04-03,"Rincon Management Services, LLC",Final Order For Permanent Injunction and Monetary Judgment Against Defendants Jason R. Begley and Wayne W. Lunsford (111.15 KB),https://www.ftc.gov/system/files/documents/cases/140403rinconorder.pdf
2014-03-20,"Online Entrepreneur, The, Inc., et al.","Stipulated Order for Permanent Injunction and Monetary Judgment Against Defendants The Online Entrepreneur, Inc., Ben and Dave’s Consulting Associates, Inc., and David Clabeaux, Only (1.38 MB)",https://www.ftc.gov/system/files/documents/cases/140320onlineentrepreneuorder.pdf
2014-03-04,"Premier Precious Metals, Inc., et al.",Stipulated Order for Permanent Injunction and Monetary Judgment  (884.72 KB),https://www.ftc.gov/system/files/documents/cases/140304preciousmetalsstip.pdf
2014-02-20,"Cash Grant Institute, et al.",Order Granting Plaintiff’s Motion to Hold Defendant Paul Navestad (Jones) in Civil Contempt of Modified Order for Permanent Injunction and Monetary Relief (41.57 KB),https://www.ftc.gov/system/files/documents/cases/140220cashgrantorder.pdf
2014-02-19,"Shopper Systems, LLC, et al., In the Matter of","Stipulated Order for Permanent Injunction and Monetary Judgment Against Defendants Michael Moysich, Concept Rocket, LLC, Revenue Works, LLC d/b/a  Surplus Supplier, Shopper Select, LLC and Shopper Systems, LLC  (1.11 MB)",https://www.ftc.gov/system/files/documents/cases/140219shoppersystemsselectstip.pdf
2014-01-31,"Instant Response Systems LLC, et al.","Default Judgment and Order for Permanent Injunction and Monetary Relief Against Instant Response Systems, LLC (335.88 KB)",https://www.ftc.gov/system/files/documents/cases/140131instantresponseorder.pdf
2014-01-14,"Prime Legal Plans LLC, et al.","Stipulated final judgment and order for permanent injunction and monetary relief as to defendants derek b. radzikowski; jason c. desmond; prime legal plans llc; freedom legal plans, llc; frontier legal plans, llc; american hardship, llc; back office support systems llc; legal servicing and billing partners llc; and relief defendant shelie desmond  (773.03 KB)",https://www.ftc.gov/sites/default/files/documents/cases/140114plporder.pdf
2014-01-07,"Leanspa, LLC, et al.","Joint Motion for Entry of Stipulated Order for Permanent Injunction and Monetary Judgment as to Boris Mizhen, Leanspa, LLC, Nutraslim, LLC, Nutraslim U.K., Ltd. (also d/b/a Leanspa U.K., Ltd.) and Angelina Strano (127.91 KB)",https://www.ftc.gov/sites/default/files/documents/cases/140107leanspamotion.pdf
2013-11-26,"I Works, Inc., et al.",Stipulated Final Order For Permanent Injunction and Monetary Judgment As To Defendant Bryce Payne (2.03 MB),https://www.ftc.gov/sites/default/files/documents/cases/131126orderstipsettlepayne.pdf
2013-11-26,"Smart Tools LLC, et al.",Stipulated Final Judgment and Order For Permanent Injunction and Monetary Relief  (4.98 MB),https://www.ftc.gov/sites/default/files/documents/cases/131126smarttoolsconsentdecree.pdf
2013-11-22,"Green Foot Global, LLC, d/b/a Green Foot Global, Greenfoot Global, GFG, GFG Commercial, GFG Industrial, www.GreenFootGlobal.com, GFG Fuel Tech, LLC, and GWO Network","Stipulated Order for Permanent Injunction and Monetary Judgment Against Ralph M. Flynn, Jr., Martinez Van Turner, and Patrick Hintze (2.69 MB)",https://www.ftc.gov/system/files/documents/cases/131122envirotabshintzeorder.pdf
2013-11-21,"Wise Media, LLC, et al.","Stipulated Order for Permanent Injunction and Monetary Judgment Against Defendants Brian M. Buckley and Wise Media, LLC  (682.28 KB)",https://www.ftc.gov/sites/default/files/documents/cases/131121wisemediabuckleystip.pdf
2013-09-25,"National Attorney Collection Services, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment (1.8 MB),https://www.ftc.gov/sites/default/files/documents/cases/130925nacstip.pdf
2013-09-13,"Ambrosia Web Design, LLC et al.",Stipulated Final Order for Permanent Injunction and Monetary Judgment [Entered by the Court] [PDF – 24 pages]  (521.4 KB),https://www.ftc.gov/sites/default/files/documents/cases/2013/09/130913ambrosiaorder.pdf
2013-08-21,"Jesta Digital, LLC, also d/b/a Jamster","(Proposed) Stipulated Final Order for Permanent Injunction and Monetary Judgment Against Jesta Digital, LLC  (8.87 MB)",https://www.ftc.gov/sites/default/files/documents/cases/2013/08/130821jestaorder.pdf
2013-07-22,"Sterling, Christopher Andrew, d/b/a sterlingvisa.com, rebatedataprocessor.com, and creditcardworker.com","Stipulated Final Judgment and Order for Permanent Injunction, Civil Penalties and Monetary Relief (489.01 KB)",https://www.ftc.gov/sites/default/files/documents/cases/2013/07/130722sterlingstip.pdf
2013-07-18,"Springtech 77376, LLC, also d/b/a Cedarcide.com, et al.",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Chemical Free Solutions LLC (532.94 KB),https://www.ftc.gov/sites/default/files/documents/cases/2013/07/130718cedarcidesolutionsstip.pdf
2013-07-16,"Springtech 77376, LLC, also d/b/a Cedarcide.com, et al.",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Dave Glassel (166.51 KB),https://www.ftc.gov/sites/default/files/documents/cases/2013/07/130716cedarcideglasselstip.pdf
2013-07-09,"Expert Global Solutions, Inc., as NCO Group, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment (806.98 KB),https://www.ftc.gov/sites/default/files/documents/cases/2013/07/130709ncoorder.pdf
2013-07-05,"Ivy Capital, Inc., et al.","District Court Final Judgment and Order For Permanent Injunction and Monetary Relief Issued Against Defendants Benjamin E. Hoskins and Dream Financial, and Against Relief Defendants Leanne Hoskins, Oxford Financial LLC, and Moab, Inc. (100.19 KB)",https://www.ftc.gov/sites/default/files/documents/cases/2013/07/130705ivycapitalorder.pdf
2013-05-17,"Virtual PC Solutions (Mikael Marczak a/k/a Michael Marczak), et al.",Stipulated Final Order for Permanent Injunction and Monetary Judgment Against Conquest Audit Corp. and Mikael Marczak (1.79 MB),https://www.ftc.gov/sites/default/files/documents/cases/2013/05/130517marczakstip.pdf
2013-02-20,"IAB Marketing Associates, LP, d/b/a IAB, et al.","Stipulated Final Order for Permanent Injunction and Monetary Judgment as to Defendants Health Service Providers, Inc., Magnolia Health Management Corporation; Magnolia Technologies Corporation; FAV Marketing, Inc.; Roy D. Hamilton; and Judy M. Hamilton (1.42 MB)",https://www.ftc.gov/sites/default/files/documents/cases/2013/02/130220iabstiporder.pdf
2013-01-24,"National Solutions LLC, et al.",Final Judgment and Order for Permanent Injunction and Monetary Relief Against Defendant Leandro Velazquez (627.26 KB),https://www.ftc.gov/sites/default/files/documents/cases/2013/01/130124nationalsolutionsorderlvelazquez.pdf
2013-01-17,"Ivy Capital, Inc., et al.",Stipulated Final Judgment and Order for Permanent Injunction and Monetary Relief (Kyle G. Kirschbaum) (1.39 MB),https://www.ftc.gov/sites/default/files/documents/cases/2013/01/130117ivycapitalorder-kylekirschbaum.pdf
2013-01-17,"Forensic Case Management Services, Inc. d/b/a Rumson, Bolling & Associates","Final Judgment and Order for Monetary Relief as to Relief Defendants Vesper Collins, LLC, Ramillies, LLC, and Innsbruck, LLC (47.75 KB)",https://www.ftc.gov/sites/default/files/documents/cases/130117rumsonorderinnsbruck.pdf
2012-12-03,"Debt Relief USA, Inc.",Stipulated Final Judgment and Order for Permanent Injunction and Monetary Relief as to Defendant Kelly Reilly (60.15 KB),https://www.ftc.gov/system/files/documents/cases/121203debtreliefreillystip.pdf
2012-11-27,"Yellow Page Marketing B.V., et al.",Default Judgment and Order for Permanent Injunction and Monetary Relief Against All Defendants (3.58 MB),https://www.ftc.gov/sites/default/files/documents/cases/2012/11/121127yellowpageorder.pdf
2012-10-02,"Innovative Marketing, Inc., et al.",Memorandum Opinion Awarding Monetary Judgment (180.18 KB),https://www.ftc.gov/sites/default/files/documents/cases/2012/10/121002winfixeropinion.pdf
2012-09-10,"RMB Group, LLC, et al.",Stipulated Order for Permanent Injunction and Monetary Judgment (2.81 MB),https://www.ftc.gov/sites/default/files/documents/cases/2012/09/120910rmbstip.pdf
2012-08-23,"John Beck Amazing Profits, LLC, et al.",Order Regarding the Scope of the Injunctive Relief and Amount of Monetary Relief (3.3 MB),https://www.ftc.gov/sites/default/files/documents/cases/2012/08/120822johnbeckorder.pdf
2012-06-22,"Commerce Planet, Inc., a corporation, et al.",Memorandum of Decision of the District Court Concluding That Defendant Charles Gugliuzza Is Individually Liable For the Deceptive and Unfair Marketing of Online Supplier; That A Permanent Injunction Is Appropriate; and That Monetary Equitable Relief In the Amount of $18.2 Million As Restitution Is Proper (255.34 KB),https://www.ftc.gov/sites/default/files/documents/cases/2012/06/120622commerceplanetmemo.pdf
2012-05-01,"John Beck Amazing Profits, LLC, et al.",Order: (1) Granting FTC's Motion for Summary Judgment; (2) Denying Defendants' Motion in Limine; and (3) Ordering Supplemental Briefing on Scope of Injunctive Relief and Monetary Damages (173.83 KB),https://www.ftc.gov/sites/default/files/documents/cases/2012/05/120501johnbeckorder.pdf
2012-04-26,"National Awards Service Advisory, LLC, also d/b/a Prize Information Bureau, et al.","Stipulated Order for Permanent Injunction and Monetary Judgment as to: (1) Tully Lovisa, (2) International Award Advisors, Inc., and (3) Spectrum Caging Service, Inc., Defendants, and (4) Lisa Lovisa, Relief Defendant (707.41 KB)",https://www.ftc.gov/sites/default/files/documents/cases/2012/04/120426prizeinfostiplovisa.pdf
2012-03-15,"Forensic Case Management Services, Inc. d/b/a Rumson, Bolling & Associates","Final Judgment and Order for Permanent Injunction and Monetary Relief as to Defendant  Frank E. Lindstrom, Jr. (69.64 KB)",https://www.ftc.gov/sites/default/files/documents/cases/120315rumsonorder.pdf
2012-03-06,"Willms, Jesse, et al.","Final Judgment and Order for Permanent Injunction and Monetary Relief as to Jesse Willms; 1021018 Alberta Ltd; 1016363 Alberta Ltd; 1524948 Alberta Ltd; Circle Media Bids Limited; CoastWest Holdings Limited; Farend Services Ltd; JDW Media, LLC; Net Soft Media, LLC; Sphere Media, LLC; True Net, LLC; and Mobile Web Media, LLC (1.94 MB)",https://www.ftc.gov/sites/default/files/documents/cases/2012/03/120306jessewillmsorder.pdf
2012-02-23,"Willms, Jesse, et al.","Stipulated Final Judgment and Order for Permanent Injunction and Monetary Relief as to Jesse Willms; 1021018 Alberta Ltd; 1016363 Alberta Ltd; 1524948 Alberta Ltd; Circle Media Bids Limited; CoastWest Holdings Limited; Farend Services Ltd; JDW Media, LLC; Net Soft Media, LLC; Sphere Media, LLC; True Net, LLC; and Mobile Web Media, LLC (1.46 MB)",https://www.ftc.gov/sites/default/files/documents/cases/2012/02/120223jwillmsstip.pdf
2012-02-01,"Millennium Telecard, Inc., et al.",Stipulated Final Order for Permanent Injunction and Monetary Judgment as to Defendants (1.17 MB),https://www.ftc.gov/sites/default/files/documents/cases/2012/02/120201milleniumstip.pdf
2012-02-01,"Moneymaker, Michael Bruce, et al.",Stipulated Order for Injunction and Monetary Judgment (1.26 MB),https://www.ftc.gov/sites/default/files/documents/cases/2012/02/120201moneymakerorder.pdf
2011-11-14,"Grant Connect, LLC; Global Gold, Inc., et al.",Final Monetary Judgment (55.6 KB),https://www.ftc.gov/sites/default/files/documents/cases/2011/11/111114grantconnectjudgment.pdf
2011-11-07,"United States Benefits, LLC, et al.","Stipulated Final Order for Permanent Injunction and Monetary Judgment Against United States Benefits, LLC, Timothy Thomas, and Kennan Dozier (2.38 MB)",https://www.ftc.gov/sites/default/files/documents/cases/2011/11/111107usbenefitsorder.pdf
2011-10-19,"Frontier Publishing, Inc.",Final Judgment and Order for Permanent Injunction and Monetary Relief (65.04 KB),https://www.ftc.gov/sites/default/files/documents/cases/2011/10/111019frontierpuborder.pdf
2011-10-17,"Grant Connect, LLC; Global Gold, Inc., et al.",Stipulated Final Judgment and Order for Permanent Injunction and Monetary Relief as to Defendant Johnnie Smith (1.45 MB),https://www.ftc.gov/sites/default/files/documents/cases/2011/10/111017grantconnectsmithstip.pdf
2011-08-25,"Affiliate Strategies, Inc., et al.",Stipulated Order for Permanent Injunction and Monetary Judgment Against Alicia Nossov (254 KB),https://www.ftc.gov/sites/default/files/documents/cases/2011/08/110825grantwritersstipnossov.pdf
2011-08-23,"Debt Relief USA, Inc.",Stipulated Final Judgment and Order for Permanent Injunction and Monetary Relief as to Defendant James Wojcik (53.21 KB),https://www.ftc.gov/sites/default/files/documents/cases/2011/08/110823debtreliefstipwojcik.pdf
2011-08-19,"Bronson Partners, LLC, et al.","In the United States Court of Appeals for the Second Circuit: Federal Trade Commission, Plaintiff-Appellee, v. Bronson Partners, LLC, et al., Defendants-Appellants, Docket No. 10-0878-cv: Opinion and Order of the Court of Appeals Affirming In Full the Judgment of the District Court Requiring the Defendants To Pay $1.942345 Million In Monetary Equitable Relief Plus Statutory Interest (1.14 MB)",https://www.ftc.gov/sites/default/files/documents/cases/2011/08/110819bronsondecision.pdf
2011-08-15,"Independent Marketing Exchange, Inc., et al.",Stipulated Final Judgment and Order from Permanent Injunction and Monetary Relief (3 MB),https://www.ftc.gov/sites/default/files/documents/cases/2011/08/110511independentmarketingstip.pdf
2011-05-11,"Independent Marketing Exchange, Inc.",Stipulated Final Judgment and Order for Permanent Injunction and Monetary Relief (3 MB),https://www.ftc.gov/sites/default/files/documents/cases/2011/05/110511independentmarketingstip.pdf
2011-03-02,"Darling Angel Pin Creations, Inc.",Proposed Stipulated Final Judgment and Order for Permanent Injunction and Monetary Relief as to Defendant Shelly R. Olson (717.44 KB),https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110302angelolsonstip.pdf
